%   l    n    nu(microHz)   sigma(microHz)
   l    n    nu            sigma
   33   11   2858.4934      0.0057
   33   12   3018.7395      0.0064
   33   13   3175.9927      0.0106
   33   14   3331.2942      0.0141
   33   15   3485.6199      0.0286
   33   16   3639.0581      0.0285
   33   17   3791.5862      0.0392
   33   18   3943.3171      0.0557
   33   19   4095.0110      0.0929
   33   20   4245.6074      0.1268
   33   21   4396.0762      0.2245
   33   22   4545.6157      0.3841
   33   23   4695.6504      0.6297
   34    3   1441.1367      0.0023
   34    4   1649.7283      0.0023
   34    5   1841.2770      0.0035
   34    6   2026.3794      0.0063
   34    7   2207.0686      0.0083
   34    8   2381.2488      0.0081
   34    9   2550.6594      0.0097
   34   10   2717.9033      0.0075
   34   11   2882.8523      0.0067
   34   12   3044.3623      0.0137
   34   13   3202.8057      0.0148
   34   14   3359.0342      0.0131
   34   15   3514.2961      0.0262
   34   16   3668.6089      0.0260
   34   17   3821.7944      0.0484
   34   18   3974.4407      0.0656
   34   19   4126.1699      0.0997
   34   20   4277.7520      0.1522
   34   21   4428.6367      0.2403
   34   22   4579.5459      0.3749
   34   23   4729.3828      0.9267
   35    3   1456.6195      0.0012
   35    4   1665.9611      0.0018
   35    5   1858.4633      0.0034
   35    6   2044.8444      0.0043
   35    7   2226.4299      0.0061
   35    8   2401.3467      0.0090
   35    9   2571.8076      0.0093
   35   10   2740.4749      0.0085
   35   11   2906.7664      0.0082
   35   12   3069.5056      0.0100
   35   13   3229.0620      0.0099
   35   14   3386.4961      0.0162
   35   15   3542.6106      0.0253
   35   16   3697.6731      0.0293
   35   17   3851.7925      0.0414
   35   18   4004.9707      0.0648
   35   19   4157.5420      0.1083
   35   20   4309.2729      0.1713
   35   21   4460.9072      0.2547
   35   22   4612.0688      0.3966
   35   23   4760.7676      0.6275
   36    3   1471.8381      0.0018
   36    4   1681.9443      0.0031
   36    5   1875.4490      0.0046
   36    6   2063.1226      0.0052
   36    7   2245.5679      0.0084
   36    8   2421.1021      0.0083
   36    9   2592.6875      0.0094
   36   10   2762.6621      0.0077
   36   11   2930.2329      0.0096
   36   12   3094.1902      0.0068
   36   13   3255.0122      0.0110
   36   14   3413.5486      0.0156
   36   15   3570.6526      0.0214
   36   16   3726.5378      0.0297
   36   17   3881.5513      0.0542
   36   18   4035.1223      0.0777
   36   19   4188.4229      0.1196
   36   20   4341.0381      0.1848
   36   21   4492.9893      0.2931
   36   22   4643.9219      0.5490
   37    2   1249.2032      0.0056
   37    3   1486.8202      0.0010
   37    4   1697.6151      0.0036
   37    5   1892.2239      0.0043
   37    6   2081.1633      0.0053
   37    7   2264.3726      0.0086
   37    8   2440.7012      0.0116
   37    9   2613.3213      0.0085
   37   10   2784.5266      0.0083
   37   11   2953.2266      0.0083
   37   12   3118.4585      0.0097
   37   13   3280.5061      0.0169
   37   14   3440.2986      0.0207
   37   15   3598.3633      0.0243
   37   16   3755.1052      0.0373
   37   17   3910.7510      0.0553
   37   18   4065.2190      0.0909
   37   19   4218.9268      0.1231
